ptype,proxy,latency,exit_ip,https,anonymity,country,targets,asn,org,hosting,blocklisted,url
http,3.235.0.113:21099,15,3.235.0.113,False,elite,US,,14618,"Amazon.com, Inc.",True,False,http://3.235.0.113:21099
http,129.213.162.27:17777,55,129.213.162.27,True,elite,US,,31898,Oracle Corporation,True,False,http://129.213.162.27:17777
http,12.50.107.222:80,120,12.50.107.218,False,elite,US,,7018,"AT&T Enterprises, LLC",False,False,http://12.50.107.222:80
http,12.50.107.219:80,121,12.50.107.218,False,elite,US,,7018,"AT&T Enterprises, LLC",False,False,http://12.50.107.219:80
http,40.177.104.199:54246,155,40.177.104.199,False,elite,CA,,16509,"Amazon.com, Inc.",True,False,http://40.177.104.199:54246
http,5.161.103.41:88,162,5.161.103.41,False,elite,US,,213230,Hetzner Online GmbH,True,False,http://5.161.103.41:88
http,131.153.163.84:29776,164,73.79.200.64,True,elite,US,,7922,"Comcast Cable Communications, LLC",False,False,http://131.153.163.84:29776
http,67.207.92.87:3129,181,67.207.92.87,True,elite,US,,14061,"DigitalOcean, LLC",True,False,http://67.207.92.87:3129
socks5,83.147.217.103:1080,208,83.147.217.103,True,elite,US,,214861,CloudExa-Hosting LTD,True,False,socks5://83.147.217.103:1080
http,184.75.221.82:3118,214,184.75.221.82,True,elite,CA,,32489,Amanah Tech Inc.,False,False,http://184.75.221.82:3118
socks5,209.50.255.91:1080,219,209.50.255.91,True,elite,US,,30633,"Leaseweb USA, Inc.",True,True,socks5://209.50.255.91:1080
http,131.153.163.84:20798,225,24.98.8.130,True,elite,US,,7922,"Comcast Cable Communications, LLC",False,False,http://131.153.163.84:20798
socks4,45.81.154.75:1080,228,45.81.154.75,True,elite,ES,,0,,,True,socks4://45.81.154.75:1080
http,207.180.254.198:8080,230,207.180.254.198,False,elite,DE,,51167,Contabo GmbH,True,False,http://207.180.254.198:8080
http,144.124.251.24:10084,238,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10084
http,31.220.78.244:80,245,31.220.78.244,False,elite,DE,,51167,Contabo GmbH,True,False,http://31.220.78.244:80
http,144.124.251.24:10953,248,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10953
http,144.124.251.24:10689,248,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10689
socks5,45.81.154.75:1080,251,45.81.154.75,True,elite,ES,,0,,,True,socks5://45.81.154.75:1080
http,107.150.41.226:18080,251,107.150.41.226,True,elite,US,,33387,"Nocix, LLC",True,False,http://107.150.41.226:18080
socks4,52.47.115.41:50161,252,52.47.115.41,False,elite,FR,,16509,"Amazon.com, Inc.",True,False,socks4://52.47.115.41:50161
socks4,23.95.164.244:1081,253,23.95.164.244,True,elite,US,,36352,HostPapa,True,False,socks4://23.95.164.244:1081
http,34.170.15.20:80,255,34.170.15.20,False,elite,US,,396982,Google LLC,True,False,http://34.170.15.20:80
http,144.124.251.24:10605,255,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10605
http,95.129.101.73:80,257,95.129.101.73,False,elite,CZ,,24641,FASTER CZ spol. s r.o.,False,False,http://95.129.101.73:80
http,144.124.251.24:10465,262,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10465
http,131.153.163.86:20798,265,24.98.8.130,True,elite,US,,7922,"Comcast Cable Communications, LLC",False,False,http://131.153.163.86:20798
socks5,23.95.164.244:1081,271,23.95.164.244,True,elite,US,,36352,HostPapa,True,False,socks5://23.95.164.244:1081
http,37.187.74.125:80,276,37.187.74.125,False,elite,FR,,16276,OVH SAS,True,False,http://37.187.74.125:80
http,95.211.174.135:3128,278,95.211.174.135,True,elite,NL,,60781,LeaseWeb Netherlands B.V.,True,False,http://95.211.174.135:3128
socks4,107.150.41.226:18080,283,107.150.41.226,True,elite,US,,33387,"Nocix, LLC",True,False,socks4://107.150.41.226:18080
http,103.237.102.191:11111,283,103.237.102.191,True,elite,DE,,62610,Zenlayer Inc,True,False,http://103.237.102.191:11111
http,144.124.251.24:10101,284,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10101
http,109.199.119.160:80,286,109.199.119.160,False,elite,GB,,51167,Contabo GmbH,True,False,http://109.199.119.160:80
http,144.124.251.24:10453,290,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10453
socks5,131.153.163.84:34825,291,73.51.120.189,True,elite,US,,7922,"Comcast Cable Communications, LLC",False,True,socks5://131.153.163.84:34825
socks4,181.115.74.172:5678,295,181.115.74.172,True,elite,HN,,14754,Telgua,False,False,socks4://181.115.74.172:5678
socks4,12.109.102.86:64312,299,12.109.102.86,True,elite,US,,40098,"Community Antenna Service, Inc.",False,True,socks4://12.109.102.86:64312
http,144.124.251.24:10002,300,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10002
http,141.98.153.86:80,302,141.98.153.86,False,elite,DE,,51167,Contabo GmbH,True,False,http://141.98.153.86:80
http,157.90.10.50:8888,305,157.90.10.50,False,elite,DE,,24940,Hetzner Online GmbH,True,False,http://157.90.10.50:8888
http,185.58.115.185:8080,306,82.196.9.24,True,elite,NL,,14061,"DigitalOcean, LLC",True,False,http://185.58.115.185:8080
http,144.124.251.24:11265,306,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:11265
http,79.137.78.133:8007,307,146.70.120.152,True,elite,HU,,9009,M247 Europe SRL,True,False,http://79.137.78.133:8007
http,193.233.233.62:56736,313,193.233.233.62,True,elite,AT,,210644,AEZA INTERNATIONAL LTD,True,False,http://193.233.233.62:56736
socks5,107.150.41.226:18080,315,107.150.41.226,True,elite,US,,33387,"Nocix, LLC",True,False,socks5://107.150.41.226:18080
http,193.233.233.62:21840,316,193.233.233.62,True,elite,AT,,210644,AEZA INTERNATIONAL LTD,True,False,http://193.233.233.62:21840
http,79.110.192.44:8081,321,79.110.192.44,False,elite,PL,,35179,Korbank S. A.,False,False,http://79.110.192.44:8081
http,79.110.202.131:8081,323,79.110.202.131,False,elite,PL,,35179,Korbank S. A.,False,False,http://79.110.202.131:8081
http,131.153.163.86:20013,323,76.157.77.47,True,elite,US,,7922,"Comcast Cable Communications, LLC",False,True,http://131.153.163.86:20013
socks4,12.218.209.130:13326,329,12.218.209.130,True,elite,US,,7018,"AT&T Enterprises, LLC",False,True,socks4://12.218.209.130:13326
http,144.124.251.24:11011,334,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:11011
http,185.49.31.205:8080,337,185.49.31.205,False,elite,PL,,35179,Korbank S. A.,False,False,http://185.49.31.205:8080
http,165.154.162.73:8888,338,165.154.162.73,False,elite,US,,135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,True,False,http://165.154.162.73:8888
http,131.153.1.46:37084,339,76.36.60.160,True,elite,US,,11426,Charter Communications Inc,False,False,http://131.153.1.46:37084
http,104.168.15.151:4080,342,104.168.15.151,True,elite,US,,36352,HostPapa,True,False,http://104.168.15.151:4080
http,43.173.120.13:8899,343,43.173.120.13,True,elite,US,,132203,Shenzhen Tencent Computer Systems Company Limited,True,True,http://43.173.120.13:8899
http,144.124.251.24:10228,343,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10228
http,144.124.251.24:10563,344,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10563
http,212.127.95.235:8081,345,212.127.95.235,False,elite,PL,,35179,Korbank S. A.,False,False,http://212.127.95.235:8081
http,144.124.251.24:10846,346,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10846
http,144.124.251.24:10346,347,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10346
http,144.124.251.24:10877,352,144.124.251.24,False,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10877
socks4,200.8.235.10:4145,356,200.8.235.10,True,elite,VE,,21826,Corporación Telemic C.A.,False,False,socks4://200.8.235.10:4145
http,87.226.22.225:80,359,87.226.22.225,False,elite,LV,,20910,"SIA ""BITE Latvija""",False,False,http://87.226.22.225:80
http,144.124.251.24:10440,361,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10440
http,216.173.68.250:3128,362,216.173.68.250,True,elite,LV,,42532,SIA VEESP,False,False,http://216.173.68.250:3128
http,103.88.234.239:40002,367,104.28.193.189,True,elite,BR,,13335,"Cloudflare, Inc.",True,True,http://103.88.234.239:40002
http,157.90.10.50:8081,368,157.90.10.50,False,elite,DE,,24940,Hetzner Online GmbH,True,False,http://157.90.10.50:8081
http,144.124.251.24:10412,374,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10412
http,144.124.251.24:10808,376,144.124.251.24,False,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10808
socks4,107.167.18.122:443,378,107.167.18.99,True,elite,US,,46844,Sharktech,False,False,socks4://107.167.18.122:443
http,144.124.251.24:10167,378,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10167
socks4,199.66.182.243:4145,382,199.66.182.243,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://199.66.182.243:4145
socks4,216.105.128.144:4145,382,216.105.128.144,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://216.105.128.144:4145
http,77.38.244.214:80,382,77.38.244.214,False,elite,LV,,20910,"SIA ""BITE Latvija""",False,False,http://77.38.244.214:80
socks4,216.105.143.146:4145,383,216.105.143.146,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://216.105.143.146:4145
socks4,199.66.183.226:4145,384,199.66.183.226,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://199.66.183.226:4145
socks4,199.66.182.232:4145,384,199.66.182.232,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://199.66.182.232:4145
socks4,216.105.130.131:4145,384,216.105.130.131,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://216.105.130.131:4145
socks4,199.66.183.251:4145,386,199.66.183.251,False,elite,US,,20081,NET2ATLANTA.COM LLC,False,False,socks4://199.66.183.251:4145
http,144.124.251.24:10230,386,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10230
http,37.110.147.13:80,388,37.110.147.13,False,elite,RU,,42610,PJSC Rostelecom,False,False,http://37.110.147.13:80
socks4,198.8.94.174:39078,391,198.8.94.174,False,elite,US,,46562,Performive LLC,True,False,socks4://198.8.94.174:39078
http,213.111.146.36:18080,391,213.111.146.36,True,elite,NL,,43641,SOLLUTIUM EU Sp z.o.o.,False,False,http://213.111.146.36:18080
socks4,192.252.208.67:14287,392,192.252.208.67,False,elite,US,,46562,Performive LLC,True,False,socks4://192.252.208.67:14287
socks4,74.119.144.60:4145,392,199.116.112.3,False,elite,US,,46562,Performive LLC,True,False,socks4://74.119.144.60:4145
socks4,192.252.216.81:4145,393,192.252.216.81,False,elite,US,,46562,Performive LLC,True,False,socks4://192.252.216.81:4145
socks4,184.170.245.148:4145,393,184.170.245.148,False,elite,US,,46562,Performive LLC,True,False,socks4://184.170.245.148:4145
socks4,192.111.139.162:4145,393,192.111.139.162,False,elite,US,,46562,Performive LLC,True,False,socks4://192.111.139.162:4145
http,144.124.251.24:10551,402,144.124.251.24,False,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10551
http,5.45.126.128:8080,411,5.45.126.128,False,elite,EE,,198068,P.A.G.M. OU,False,False,http://5.45.126.128:8080
http,174.138.161.188:36055,412,47.41.220.40,True,elite,US,,20115,Charter Communications,False,False,http://174.138.161.188:36055
http,159.224.232.194:8888,414,159.224.232.194,False,elite,UA,,13188,CONTENT DELIVERY NETWORK LTD,False,False,http://159.224.232.194:8888
http,144.124.251.24:10123,414,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10123
http,107.181.155.86:80,425,107.181.155.86,False,elite,TR,,213535,YottaSrc,False,False,http://107.181.155.86:80
http,144.124.251.24:10552,425,144.124.251.24,True,transparent,NL,,216071,SERVERS TECH FZCO,True,False,http://144.124.251.24:10552
http,31.10.83.158:8080,430,31.10.83.158,False,elite,RU,,35271,"JSC ""AVIEL""",False,False,http://31.10.83.158:8080
socks4,20.50.39.194:1080,430,98.64.138.43,True,elite,NL,,8075,Microsoft Corporation,True,True,socks4://20.50.39.194:1080
socks4,107.181.168.145:4145,432,107.181.168.145,False,elite,US,,46562,Performive LLC,True,False,socks4://107.181.168.145:4145
